n_processors,bytes, wall_time ,iterations
2,2,0.17099,10000
2,4,0.165123,10000
2,8,0.164229,10000
2,16,0.168329,10000
2,32,0.165122,10000
2,64,0.153975,10000
2,128,0.157779,10000
2,256,0.171795,10000
2,512,0.17298,10000
2,1024,0.168919,10000
2,2048,0.177425,10000
2,4096,0.252031,10000
4,2,0.172825,10000
4,4,0.176385,10000
4,8,0.174583,10000
4,16,0.171859,10000
4,32,0.178898,10000
4,64,0.21397,10000
4,128,0.187212,10000
4,256,0.168655,10000
4,512,0.171902,10000
4,1024,0.166357,10000
4,2048,0.176454,10000
4,4096,0.240074,10000
8,2,0.201528,10000
8,4,0.212105,10000
8,8,0.212431,10000
8,16,0.214762,10000
8,32,0.217533,10000
8,64,0.206887,10000
8,128,0.206323,10000
8,256,0.175561,10000
8,512,0.177483,10000
8,1024,0.176463,10000
8,2048,0.189553,10000
8,4096,0.259954,10000
16,2,0.210291,10000
16,4,0.213701,10000
16,8,0.211636,10000
16,16,0.21195,10000
16,32,0.209912,10000
16,64,0.205553,10000
16,128,0.212489,10000
16,256,0.184753,10000
16,512,0.183962,10000
16,1024,0.186579,10000
16,2048,0.195586,10000
16,4096,0.256297,10000
32,2,0.218605,10000
32,4,0.223448,10000
32,8,0.229871,10000
32,16,0.227047,10000
32,32,0.234241,10000
32,64,0.258919,10000
32,128,0.265443,10000
32,256,0.241715,10000
32,512,0.211213,10000
32,1024,0.19663,10000
32,2048,0.195299,10000
32,4096,0.258904,10000
